color_code,MIN_zika,MAX_zika,RANGE_zika,MEAN_zika,MEDIAN_zika,PCT90_zika,MIN_dengue2015,MAX_dengue2015,RANGE_dengue2015,MEAN_dengue2015,MEDIAN_dengue2015,PCT90_dengue2015,MIN_dengue2050,MAX_dengue2050,RANGE_dengue2050,MEAN_dengue2050,MEDIAN_dengue2050,PCT90_dengue2050
USA,0,0.991190672,0.991190672,0.025642918,0,0,0,0.965444267,0.965444267,0.093151144,0,0.385120401,0,0.970960315,0.970960315,0.101600002,0,0.408912677
RUS,0,0,0,0,0,0,0,0.53579843,0.53579843,0.001167648,0,0,0,0.92509994,0.92509994,0.001580029,0,0
FRA,0,0.984534919,0.984534919,0.074400817,0,0.329417807,0,0.961802006,0.961802006,0.083194892,0,0.532696205,0,0.945019412,0.945019412,0.092341415,0,0.63230246
SRB,0,0,0,0,0,0,0,0.16556336,0.16556336,0.005242071,0,0.032516275,0,0.322907055,0.322907055,0.021391249,0,0.049150819
URY,0,0.987894118,0.987894118,0.002920475,0,0,0,0.864425182,0.864425182,0.371521172,0.406295791,0.579351145,0,0.873139885,0.873139885,0.415688577,0.449488653,0.619844747
GUM,0,0.716118336,0.716118336,0.585987727,0.684500873,0.705839467,0,0.86475575,0.86475575,0.6438044,0.68242389,0.785107148,0,0.902587368,0.902587368,0.616168793,0.618480244,0.813454889
PAN,0,0.991058469,0.991058469,0.553590385,0.589104235,0.869775009,0,0.962164283,0.962164283,0.794323296,0.835440755,0.90446496,0,0.951456122,0.951456122,0.798295641,0.838565186,0.908102969
NLD,0,0.783503175,0.783503175,0.002792443,0,0,0,0.972327769,0.972327769,0.011547269,0,0,0,0.959980695,0.959980695,0.011281534,0,0
DZA,0,0.970653117,0.970653117,0.001366576,0,0.006247189,0,0.922786176,0.922786176,0.014871784,0,0,0,0.916280583,0.916280583,0.015325538,0,0
TGO,0,0.990432858,0.990432858,0.539800607,0.584639996,0.817129278,0,0.971853852,0.971853852,0.812463483,0.828028619,0.886072916,0.541286086,0.966761027,0.425474941,0.816055113,0.828679885,0.901180444
EGY,0,0.8139925,0.8139925,0.000752874,0,0.006228867,0,0.933913708,0.933913708,0.006261911,0,0,0,0.933805621,0.933805621,0.006447261,0,0
CHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
